구직신청번호,성별,나이,학력공통코드,학력공통코드명,희망근무지역(시도)_1,희망근무지역명(시군구)_1,희망근무지역명(시도)_2,희망근무지역명(시군구)_2,희망직종공통코드,희망직종공통코드명,희망직종경력년수,희망직종경력개월수,희망직종경력년_월수,구직인증상태공통구분,구직인증상태공통구분명,검색키워드1,검색키워드2,검색키워드3,검색키워드4,검색키워드5,등록일시,수정일시
H322202107060277,여,60,J00106,고등학교,서울,서초구,서울,강남구,550103,시설 요양보호사(노인요양사),3,0,3년0월,J03404,알선,,,,,,23:39.0,23:43.0
H318202107060276,남,62,J00108,전문대학,서울,금천구,경기,광명시,542000,경비원(건물 관리원),0,9,0년9월,J03404,알선,,,,,,23:36.0,23:40.0
H313202107060275,여,54,J00106,고등학교,서울,서대문구,서울,,550104,재가 요양보호사,,,신입,J03402,승인,,,,,,23:26.0,23:30.0
H305202107060274,여,62,J00106,고등학교,서울,광진구,,,550104,재가 요양보호사,5,0,5년0월,J03404,알선,,,,,,22:45.0,22:48.0
H117202107060258,여,65,J00100,관계없음,서울,강동구,서울,송파구,550104,재가 요양보호사,3,0,3년0월,J03404,알선,,,,,,19:25.0,19:30.0
H121202107060257,남,66,J00106,고등학교,서울,중랑구,서울,,562300,주차 관리?안내원,2,0,2년0월,J03404,알선,,,,,,15:21.0,15:24.0
H001202107060216,남,56,J00110,대학_대학교,서울,영등포구,서울,,231400,직업상담사,,,신입,J03402,승인,직업상담사,직업훈련강사,서울,특성화고 취업지원관,,48:06.0,17:22.0
H001202107060046,남,30,J00110,대학_대학교,서울,강서구,서울,양천구,416600,영상?녹화 및 편집 기사,,,신입,J03404,알선,영상촬영,편집,물류,입출고,포장,21:00.0,11:30.0
H001202107060019,여,24,J00110,대학_대학교,서울,,경기,,307400,의무기록사,1,11,1년11월,J03402,승인,,,,,,36:00.0,20:22.0
H001202107060001,여,25,J00110,대학_대학교,서울,,경기,고양시,24401,행사?이벤트 기획자,,,신입,J03405,알선대기,,,,,,02:29.0,22:34.0
H001202107052885,여,33,J00112,석사과정,서울,구로구,서울,금천구,214109,한국어 강사(다문화 언어지도사 포함),1,4,1년4월,J03402,승인,,,,,,52:16.0,20:32.0
H321202107052879,남,61,J00106,고등학교,서울,관악구,서울,동작구,622202,관광 및 통근?통학?학원 및 기타 버스 운전원,,,신입,J03402,승인,유치원,어린이집,통학,운전기사,통학버스,41:56.0,10:54.0
H001202107052872,여,28,J00108,전문대학,경기,구리시,경기,양평군,617903,쇼핑몰택배 준비원,2,0,2년0월,J03402,승인,,,,,,27:10.0,50:23.0
H001202107052871,여,30,J00110,대학_대학교,서울,동작구,서울,관악구,413201,사서,,,신입,J03402,승인,,,,,,26:18.0,19:27.0
H001202107052865,남,33,J00110,대학_대학교,서울,종로구,서울,중구,22201,인사?노무 전문가,,,신입,J03402,승인,,,,,,10:16.0,48:05.0
H304202107052834,여,59,J00106,고등학교,서울,성동구,서울,광진구,562900,기타 서비스 단순 종사원,6,3,6년3월,J03402,승인,자판기,주방보조,사무실,,,19:27.0,48:10.0
H001202107052814,여,35,J00106,고등학교,서울,노원구,서울,전체,29505,사무 보조원(공공기관),0,0,신입,J03402,승인,공공일자리,쇼핑몰,배송 포장,사무보조,,39:32.0,29:57.0
