구직신청번호,성별,나이,학력공통코드,학력공통코드명,희망근무지역(시도)_1,희망근무지역명(시군구)_1,희망근무지역명(시도)_2,희망근무지역명(시군구)_2,희망직종공통코드,희망직종공통코드명,희망직종경력년수,희망직종경력개월수,희망직종경력년_월수,구직인증상태공통구분,구직인증상태공통구분명,검색키워드1,검색키워드2,검색키워드3,검색키워드4,검색키워드5,등록일시,수정일시
H128202107071973,남,74,J00106,고등학교,서울,강북구,서울,,814001,산업용 냉난방 설비 조작원,6,0,6년0월,J03402,승인,,,,,,15:29.0,15:34.0
H309202107071965,남,87,J00100,관계없음,서울,강북구,,,561100,청소원,,,신입,J03402,승인,,,,,,05:55.0,05:59.0
H110202107071953,여,68,J00100,관계없음,서울,서초구,서울,강남구,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),,,신입,J03402,승인,,,,,,57:27.0,57:30.0
H318202107071951,남,30,J00106,고등학교,서울,금천구,,,622301,경?소형 화물차 운전원,,,신입,J03402,승인,,,,,,51:30.0,51:33.0
H129202107071950,여,66,J00106,고등학교,서울,송파구,서울,,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),3,0,3년0월,J03402,승인,,,,,,51:25.0,51:29.0
H108202107071928,여,63,J00106,고등학교,서울,서대문구,서울,,25500,공공행정 사무원,0,5,0년5월,J03402,승인,,,,,,43:12.0,43:19.0
H129202107071902,남,69,J00106,고등학교,서울,송파구,서울,강동구,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),,,신입,J03402,승인,,,,,,38:42.0,38:46.0
H309202107071901,여,68,J00101,무학력,서울,강북구,서울,,561100,청소원,2,5,2년5월,J03402,승인,,,,,,36:33.0,36:36.0
H314202107071900,여,54,J00110,대학_대학교,서울,마포구,,,550104,재가 요양보호사,,,신입,J03404,알선,,,,,,34:42.0,34:45.0
H129202107071899,남,63,J00106,고등학교,서울,송파구,서울,강동구,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),10,0,10년0월,J03402,승인,,,,,,33:48.0,33:52.0
H127202107071898,남,71,J00106,고등학교,서울,광진구,경기,구리시,624102,지하철 택배원,2,0,2년0월,J03402,승인,,,,,,33:09.0,33:11.0
H305202107071881,남,62,J00104,중학교,서울,광진구,서울,송파구,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),1,0,1년0월,J03402,승인,,,,,,27:09.0,27:13.0
H311202107071880,여,66,J00110,대학_대학교,서울,,경기,,29505,사무 보조원(공공기관),1,0,1년0월,J03402,승인,,,,,,21:26.0,21:29.0
H324202107071856,여,48,J00106,고등학교,서울,송파구,서울,강동구,532200,홀서빙원,4,0,4년0월,J03404,알선,,,,,,19:01.0,19:05.0
H121202107071855,남,52,J00106,고등학교,서울,중랑구,서울,,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),,,신입,J03402,승인,,,,,,16:19.0,16:23.0
H311202107071854,남,54,J00106,고등학교,서울,노원구,서울,,562300,주차 관리?안내원,10,0,10년0월,J03404,알선,,,,,,15:31.0,15:36.0
H001202107071853,여,27,J00106,고등학교,서울,,경기,,615106,의류 판매원,4,8,4년8월,J03402,승인,,,,,,11:50.0,19:02.0
H315202107071833,여,56,J00104,중학교,서울,양천구,서울,강서구,531200,한식 조리사,8,0,8년0월,J03404,알선,,,,,,09:28.0,09:31.0
H317202107071832,여,53,J00108,전문대학,서울,구로구,서울,영등포구,231100,사회복지사,,,신입,J03404,알선,,,,,,08:25.0,08:31.0
H308202107071831,여,63,J00104,중학교,서울,성북구,,,550100,요양 보호사 및 간병인,1,6,1년6월,J03402,승인,,,,,,07:23.0,07:27.0
H304202107071830,남,66,J00110,대학_대학교,서울,성동구,서울,강남구,542002,건물 경비원(청사학교병원상가빌딩공장 등),3,3,3년3월,J03404,알선,,,,,,04:15.0,04:19.0
H307202107071829,여,55,J00106,고등학교,서울,중랑구,서울,,615100,상점 판매원,30,0,30년0월,J03404,알선,,,,,,01:15.0,01:20.0
H317202107071828,여,57,J00106,고등학교,서울,구로구,,,550103,시설 요양보호사(노인요양사),0,6,0년6월,J03404,알선,,,,,,01:01.0,01:05.0
H306202107071792,여,48,J00104,중학교,서울,성동구,서울,,531203,유치원?어린이집 급식 조리사,2,0,2년0월,J03404,알선,,,,,,59:36.0,59:40.0
H311202107071791,남,38,J00106,고등학교,서울,노원구,서울,,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),,,신입,J03402,승인,마트 정리원,카트정리원,건물청소원,,,56:50.0,56:54.0
H306202107071790,여,58,J00106,고등학교,서울,동대문구,서울,,550104,재가 요양보호사,2,0,2년0월,J03404,알선,청소,사무실청소,방역,가사도우미,,54:26.0,54:30.0
H111202107071789,여,66,J00104,중학교,서울,동대문구,서울,,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),2,0,2년0월,J03402,승인,,,,,,54:21.0,54:25.0
H307202107071788,남,68,J00104,중학교,서울,중랑구,서울,,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),,,신입,J03402,승인,,,,,,53:17.0,53:20.0
H001202107071787,남,46,J00110,대학_대학교,서울,,대전,,15100,영업?판매 관리자,15,0,15년0월,J03402,승인,영화관,극장,매장운영,,,51:03.0,03:49.0
H317202107071761,여,68,J00104,중학교,서울,구로구,,,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),1,2,1년2월,J03402,승인,,,,,,49:28.0,49:31.0
H302202107071760,여,56,J00106,고등학교,서울,중구,,,550104,재가 요양보호사,4,0,4년0월,J03404,알선,,,,,,49:27.0,49:33.0
H308202107071759,여,59,J00104,중학교,서울,성북구,,,550103,시설 요양보호사(노인요양사),,,신입,J03405,알선대기,,,,,,47:01.0,47:04.0
H324202107071758,여,65,J00106,고등학교,서울,,,,232903,장애인 생활지도원(장애인활동보조원 포함),,,신입,J03402,승인,,,,,,44:37.0,44:42.0
H121202107071757,남,80,J00106,고등학교,서울,중랑구,서울,,624102,지하철 택배원,3,0,3년0월,J03402,승인,,,,,,41:50.0,41:54.0
H325202107071756,여,72,J00104,중학교,서울,강동구,서울,,550104,재가 요양보호사,,,신입,J03404,알선,,,,,,41:01.0,41:06.0
H309202107071755,남,66,J00104,중학교,서울,강북구,서울,도봉구,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),,,신입,J03402,승인,,,,,,40:22.0,40:26.0
H311202107071727,여,64,J00100,관계없음,서울,노원구,서울,,561302,방역원(해충퇴치원 포함),,,신입,J03402,승인,,,,,,36:49.0,36:54.0
H315202107071726,남,52,J00100,관계없음,서울,양천구,서울,,561100,청소원,,,신입,J03402,승인,,,,,,34:50.0,34:54.0
H310202107071724,여,62,J00104,중학교,서울,도봉구,서울,,550104,재가 요양보호사,4,0,4년0월,J03402,승인,후,!!!!!!!,,,,32:46.0,32:49.0
H001202107071723,남,57,J00106,고등학교,서울,종로구,서울,,616102,요금 정산원(주차요금통행료),4,0,4년0월,J03402,승인,,,,,,31:52.0,55:59.0
H319202107071722,남,54,J00106,고등학교,서울,영등포구,,,542002,건물 경비원(청사학교병원상가빌딩공장 등),,,신입,J03404,알선,,,,,,31:32.0,31:36.0
H309202107071721,여,69,J00102,초등학교,서울,강동구,서울,성북구,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),,,신입,J03404,알선,,,,,,31:27.0,31:31.0
H307202107071720,여,44,J00110,대학_대학교,서울,중랑구,서울,,306903,운동처방사,6,0,6년0월,J03402,승인,,,,,,30:15.0,30:20.0
H323202107071692,남,58,J00106,고등학교,서울,,,,531200,한식 조리사,30,0,30년0월,J03402,승인,,,,,,28:57.0,29:01.0
H320202107071691,여,32,J00104,중학교,서울,동작구,서울,,28400,생산?품질 사무원,,,신입,J03404,알선,,,,,,28:08.0,28:13.0
H310202107071690,남,59,J00110,대학_대학교,서울,도봉구,서울,,561102,호텔?콘도?숙박시설 청소원(룸메이드하우스키퍼),5,0,5년0월,J03402,승인,,,,,,26:05.0,26:10.0
H324202107071689,여,72,J00106,고등학교,서울,송파구,서울,강동구,550104,재가 요양보호사,3,7,3년7월,J03402,승인,,,,,,24:25.0,24:28.0
H121202107071688,남,63,J00106,고등학교,서울,중랑구,서울,,542002,건물 경비원(청사학교병원상가빌딩공장 등),5,0,5년0월,J03402,승인,,,,,,23:35.0,23:38.0
H316202107071687,여,62,J00106,고등학교,서울,강서구,,,550103,시설 요양보호사(노인요양사),3,4,3년4월,J03404,알선,,,,,,22:19.0,22:22.0
H114202107071686,남,68,J00100,관계없음,서울,구로구,서울,,542002,건물 경비원(청사학교병원상가빌딩공장 등),,,신입,J03402,승인,,,,,,21:49.0,21:53.0
H322202107071685,남,64,J00110,대학_대학교,서울,영등포구,서울,,25500,공공행정 사무원,0,4,0년4월,J03402,승인,영어,중국어,청소,행정,경비,21:37.0,21:42.0
H309202107071684,여,58,J00104,중학교,서울,강북구,,,550100,요양 보호사 및 간병인,,,신입,J03404,알선,,,,,,21:14.0,21:17.0
H324202107071683,여,58,J00104,중학교,서울,,,,561500,세탁원(다림질원),9,0,9년0월,J03404,알선,,,,,,20:30.0,20:31.0
H316202107071681,여,63,J00104,중학교,서울,강서구,서울,양천구,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),1,4,1년4월,J03402,승인,,,,,,20:15.0,20:18.0
H315202107071652,여,56,J00106,고등학교,서울,,경기,,231101,사회복지사(사회복지시설),2,6,2년6월,J03404,알선,,,,,,17:51.0,17:56.0
H317202107071651,여,59,J00106,고등학교,서울,구로구,서울,양천구,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),,,신입,J03404,알선,,,,,,16:24.0,16:28.0
H316202107071650,여,68,J00104,중학교,서울,강서구,서울,,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),3,0,3년0월,J03402,승인,,,,,,14:24.0,14:27.0
H305202107071649,여,55,J00106,고등학교,서울,광진구,,,550104,재가 요양보호사,,,신입,J03402,승인,,,,,,11:50.0,11:54.0
H314202107071611,남,62,J00106,고등학교,서울,마포구,서울,강서구,16303,섬유?의류 제조 관리자(공장장),42,0,42년0월,J03402,승인,,,,,,08:16.0,08:21.0
H306202107071610,여,60,J00106,고등학교,서울,동대문구,서울,,550104,재가 요양보호사,1,0,1년0월,J03402,승인,,,,,,07:48.0,07:51.0
H316202107071609,여,78,J00102,초등학교,서울,강서구,서울,,905002,임업 단순 종사원(산림보호감시 산불감시원 등),,,신입,J03402,승인,,,,,,07:10.0,07:15.0
H309202107071607,여,50,J00104,중학교,서울,강북구,서울,,550104,재가 요양보호사,,,신입,J03404,알선,,,,,,04:22.0,04:26.0
H320202107071606,여,73,J00102,초등학교,서울,동작구,서울,,561201,환경 미화원,10,0,10년0월,J03402,승인,,,,,,03:40.0,03:43.0
H308202107071605,여,68,J00106,고등학교,서울,성북구,서울,,232903,장애인 생활지도원(장애인활동보조원 포함),,,신입,J03402,승인,,,,,,03:03.0,03:06.0
H309202107071604,남,56,J00106,고등학교,서울,강북구,서울,,831201,내선 전기공(건물 내 전기공사원),11,0,11년0월,J03402,승인,,,,,,00:57.0,01:01.0
H323202107071576,여,66,J00106,고등학교,서울,강남구,서울,,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),3,3,3년3월,J03402,승인,고객상담원,아웃바운드,인바운드,,,59:54.0,59:57.0
H320202107071570,여,64,J00106,고등학교,서울,동작구,서울,,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),,,신입,J03404,알선,,,,,,59:06.0,59:10.0
H001202107071569,남,64,J00110,대학_대학교,서울,,경기,고양시,15100,영업?판매 관리자,40,0,40년0월,J03402,승인,,,,,,58:16.0,11:24.0
H314202107071568,여,51,J00106,고등학교,서울,마포구,서울,,26301,총무 및 일반 사무원,10,0,10년0월,J03402,승인,,,,,,56:29.0,56:33.0
H101202107071567,남,61,J00106,고등학교,서울,광진구,서울,,542000,경비원(건물 관리원),,,신입,J03402,승인,,,,,,56:20.0,56:24.0
H309202107071566,남,65,J00106,고등학교,서울,강북구,서울,,702600,건물 도장공,2,0,2년0월,J03402,승인,,,,,,54:28.0,54:32.0
H319202107071565,여,53,J00104,중학교,서울,영등포구,서울,,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),5,0,5년0월,J03402,승인,,,,,,54:01.0,54:04.0
H305202107071564,남,62,J00104,중학교,서울,광진구,서울,,561201,환경 미화원,,,신입,J03402,승인,,,,,,53:24.0,53:28.0
H319202107071563,남,57,J00106,고등학교,서울,영등포구,서울,,542002,건물 경비원(청사학교병원상가빌딩공장 등),0,2,0년2월,J03402,승인,주차관리,,,,,52:53.0,52:57.0
H307202107071562,여,60,J00102,초등학교,서울,중랑구,서울,노원구,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),7,0,7년0월,J03404,알선,빌딩아파트청소,경력7년,7시~3시희망,,,51:29.0,51:29.0
H311202107071561,여,63,J00106,고등학교,서울,노원구,서울,,550104,재가 요양보호사,10,0,10년0월,J03404,알선,,,,,,50:39.0,50:43.0
H101202107071542,남,57,J00100,관계없음,서울,관악구,서울,,542000,경비원(건물 관리원),,,신입,J03402,승인,,,,,,50:08.0,50:12.0
H307202107071520,여,62,J00104,중학교,서울,노원구,서울,중랑구,550104,재가 요양보호사,10,0,10년0월,J03404,알선,,,,,,46:43.0,46:47.0
H318202107071519,남,59,J00104,중학교,서울,금천구,서울,관악구,562300,주차 관리?안내원,1,6,1년6월,J03402,승인,,,,,,46:07.0,46:11.0
H313202107071518,남,61,J00110,대학_대학교,서울,서대문구,서울,,702501,도배공,,,신입,J03402,승인,,,,,,43:54.0,43:58.0
H320202107071517,여,66,J00104,중학교,서울,동작구,서울,,531203,유치원?어린이집 급식 조리사,6,0,6년0월,J03402,승인,,,,,,43:29.0,43:32.0
H305202107071516,여,57,J00106,고등학교,서울,광진구,,,550104,재가 요양보호사,1,7,1년7월,J03404,알선,,,,,,42:57.0,43:02.0
H309202107071515,남,63,J00108,전문대학,서울,강북구,서울,,542002,건물 경비원(청사학교병원상가빌딩공장 등),10,0,10년0월,J03404,알선,,,,,,41:05.0,41:10.0
H001202107071514,여,29,J00110,대학_대학교,서울,송파구,서울,강남구,27103,회계 사무원(일반 사업체),,,신입,J03404,알선,,,,,,41:03.0,34:28.0
H315202107071474,남,61,J00106,고등학교,서울,강서구,서울,,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),4,0,4년0월,J03404,알선,경비,빌딩경비,,,,39:19.0,39:23.0
H323202107071473,여,66,J00102,초등학교,서울,강남구,,,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),3,0,3년0월,J03404,알선,,,,,,38:51.0,38:55.0
H305202107071472,여,54,J00106,고등학교,서울,광진구,서울,,616100,매장 계산원 및 요금 정산원,5,0,5년0월,J03402,승인,,,,,,38:37.0,38:41.0
H316202107071470,여,52,J00104,중학교,서울,강서구,서울,,885902,주입?포장?상표부착기 등 기타 기계 조작원,20,0,20년0월,J03404,알선,,,,,,36:39.0,36:43.0
H325202107071469,남,59,J00110,대학_대학교,서울,,서울,강동구,562900,기타 서비스 단순 종사원,,,신입,J03402,승인,,,,,,36:09.0,36:13.0
H308202107071468,남,71,J00101,무학력,서울,성북구,서울,,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),,,신입,J03402,승인,,,,,,35:32.0,35:35.0
H306202107071467,남,70,J00104,중학교,서울,동대문구,서울,,542002,건물 경비원(청사학교병원상가빌딩공장 등),6,0,6년0월,J03402,승인,동대문구,,,,,35:26.0,35:30.0
H001202107071466,남,25,J00110,대학_대학교,서울,,경기,성남시,135001,정보보호 전문가,,,신입,J03402,승인,,,,,,33:00.0,35:35.0
H307202107071465,여,62,J00104,중학교,서울,중랑구,서울,,550103,시설 요양보호사(노인요양사),,,신입,J03404,알선,,,,,,32:07.0,32:10.0
H308202107071464,여,64,J00104,중학교,서울,,,,550100,요양 보호사 및 간병인,,,신입,J03404,알선,,,,,,31:33.0,31:37.0
H317202107071463,남,71,J00104,중학교,서울,구로구,서울,금천구,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),20,0,20년0월,J03402,승인,,,,,,31:23.0,31:26.0
H309202107071435,여,66,J00106,고등학교,서울,,,,232903,장애인 생활지도원(장애인활동보조원 포함),4,0,4년0월,J03402,승인,,,,,,29:32.0,29:36.0
H320202107071434,여,56,J00104,중학교,서울,동작구,서울,,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),1,0,1년0월,J03402,승인,,,,,,27:50.0,27:53.0
H310202107071433,여,55,J00110,대학_대학교,,,,,231101,사회복지사(사회복지시설),2,0,2년0월,J03402,승인,사회복지사,평생교육사,직업상담사,,,27:30.0,27:35.0
H301202107071432,여,72,J00104,중학교,서울,종로구,서울,중구,561100,청소원,,,신입,J03402,승인,,,,,,27:12.0,27:15.0
H001202107071431,남,62,J00104,중학교,서울,중랑구,서울,도봉구,542002,건물 경비원(청사학교병원상가빌딩공장 등),5,0,5년0월,J03404,알선,빌딩관리 및 경비,아파트 경비,단순 조립 및 생산,,,25:49.0,55:52.0
H311202107071430,여,39,J00106,고등학교,서울,노원구,서울,,29505,사무 보조원(공공기관),,,신입,J03402,승인,공공 안심,공공사무원,,,,25:26.0,25:30.0
H308202107071429,남,60,J00102,초등학교,서울,성북구,서울,,890003,화학?환경?에너지 분야 단순 종사원,,,신입,J03402,승인,,,,,,21:26.0,21:30.0
H324202107071428,남,69,J00106,고등학교,서울,송파구,경기,성남시,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),3,0,3년0월,J03402,승인,,,,,,21:26.0,21:31.0
H313202107071427,여,59,J00106,고등학교,서울,서대문구,서울,,561200,환경미화원 및 재활용품 수거원,,,신입,J03402,승인,,,,,,21:17.0,21:21.0
H316202107071426,남,70,J00104,중학교,서울,강서구,서울,양천구,562300,주차 관리?안내원,0,3,0년3월,J03402,승인,,,,,,20:57.0,21:00.0
H307202107071417,여,48,J00106,고등학교,서울,중랑구,서울,,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),,,신입,J03402,승인,,,,,,20:12.0,20:17.0
H120202107071391,남,76,J00106,고등학교,서울,마포구,서울,은평구,542000,경비원(건물 관리원),12,0,12년0월,J03404,알선,경비원,주차관리,,,,19:02.0,19:07.0
H001202107071390,여,48,J00110,대학_대학교,서울,동작구,서울,,232100,보육 교사,1,6,1년6월,J03404,알선,,,,,,16:00.0,24:26.0
H323202107071389,여,59,J00104,중학교,서울,,,,232903,장애인 생활지도원(장애인활동보조원 포함),,,신입,J03404,알선,,,,,,15:43.0,15:48.0
H322202107071388,여,71,J00104,중학교,서울,서초구,서울,용산구,550103,시설 요양보호사(노인요양사),10,0,10년0월,J03404,알선,,,,,,14:40.0,14:43.0
H315202107071387,여,62,J00100,관계없음,서울,양천구,서울,,550104,재가 요양보호사,0,6,0년6월,J03402,승인,,,,,,12:21.0,12:25.0
H311202107071386,남,59,J00106,고등학교,서울,노원구,서울,,232900,기타 사회복지 종사원,,,신입,J03402,승인,,,,,,11:59.0,11:59.0
H305202107071379,남,58,J00104,중학교,서울,광진구,,,561201,환경 미화원,,,신입,J03402,승인,,,,,,10:15.0,10:20.0
H314202107071376,여,54,J00106,고등학교,서울,마포구,서울,은평구,615102,대형마트 판매원,2,0,2년0월,J03404,알선,,,,,,10:13.0,10:19.0
H314202107071354,여,66,J00102,초등학교,서울,마포구,서울,,550104,재가 요양보호사,5,0,5년0월,J03402,승인,,,,,,09:07.0,09:11.0
H001202107071353,남,62,J00106,고등학교,서울,성북구,서울,,542000,경비원(건물 관리원),,,신입,J03404,알선,주차관리,경비,건물관리,,,08:56.0,26:37.0
H319202107071352,남,61,J00104,중학교,서울,영등포구,서울,,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),3,0,3년0월,J03402,승인,돌돌이,,,,,08:15.0,08:19.0
H309202107071351,여,60,J00106,고등학교,서울,강북구,,,550103,시설 요양보호사(노인요양사),,,신입,J03402,승인,,,,,,07:29.0,07:33.0
H307202107071350,남,60,J00108,전문대학,서울,중랑구,서울,,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),3,0,3년0월,J03402,승인,,,,,,05:50.0,05:53.0
H318202107071315,여,51,J00108,전문대학,서울,금천구,지역무관,지역무관,532200,홀서빙원,2,0,2년0월,J03402,승인,,,,,,59:38.0,10:08.0
H318202107071314,여,63,J00104,중학교,경기,광명시,서울,금천구,550104,재가 요양보호사,2,0,2년0월,J03402,승인,,,,,,57:12.0,57:16.0
H320202107071313,여,55,J00106,고등학교,서울,동작구,서울,,562900,기타 서비스 단순 종사원,,,신입,J03402,승인,,,,,,57:08.0,57:13.0
H309202107071312,여,57,J00106,고등학교,서울,강북구,서울,,550100,요양 보호사 및 간병인,,,신입,J03402,승인,,,,,,55:07.0,55:08.0
H308202107071311,남,62,J00104,중학교,서울,성북구,서울,,905002,임업 단순 종사원(산림보호감시 산불감시원 등),,,신입,J03402,승인,,,,,,53:28.0,53:31.0
H310202107071310,남,71,J00104,중학교,서울,도봉구,서울,,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),0,10,0년10월,J03402,승인,쌍문4동,복지카드,,,,51:30.0,51:34.0
H308202107071272,여,67,J00100,관계없음,서울,성북구,서울,,890003,화학?환경?에너지 분야 단순 종사원,,,신입,J03402,승인,,,,,,49:10.0,49:14.0
H308202107071271,여,57,J00100,관계없음,서울,성북구,서울,,550103,시설 요양보호사(노인요양사),,,신입,J03404,알선,,,,,,46:34.0,46:38.0
H325202107071270,남,69,J00106,고등학교,서울,강동구,서울,송파구,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),1,0,1년0월,J03404,알선,,,,,,46:25.0,46:29.0
H312202107071269,여,57,J00106,고등학교,서울,은평구,,,232903,장애인 생활지도원(장애인활동보조원 포함),,,신입,J03404,알선,,,,,,46:17.0,46:22.0
H310202107071268,여,61,J00104,중학교,서울,도봉구,서울,노원구,531205,사업체 구내식당 급식 조리사,33,0,33년0월,J03404,알선,,,,,,44:48.0,44:52.0
H309202107071267,여,51,J00106,고등학교,서울,강북구,서울,,550100,요양 보호사 및 간병인,,,신입,J03402,승인,미아,오전,수유,미아,미아사거리,41:44.0,41:47.0
H314202107071266,여,68,J00104,중학교,서울,마포구,서울,은평구,550104,재가 요양보호사,11,0,11년0월,J03404,알선,,,,,,41:39.0,41:42.0
H308202107071265,여,59,J00106,고등학교,서울,성북구,서울,,550103,시설 요양보호사(노인요양사),10,0,10년0월,J03402,승인,,,,,,41:24.0,41:27.0
H320202107071219,남,66,J00102,초등학교,서울,동작구,서울,,562902,환경 감시원,1,0,1년0월,J03402,승인,,,,,,39:24.0,39:27.0
H304202107071218,여,43,J00106,고등학교,서울,성동구,서울,,29500,전산자료 입력원 및 사무 보조원,,,신입,J03402,승인,,,,,,39:20.0,39:24.0
H304202107071217,여,51,J00106,고등학교,서울,성동구,서울,,550104,재가 요양보호사,10,0,10년0월,J03404,알선,,,,,,38:39.0,38:43.0
H308202107071216,여,67,J00100,관계없음,서울,성북구,서울,,890003,화학?환경?에너지 분야 단순 종사원,,,신입,J03402,승인,,,,,,37:32.0,37:37.0
H308202107071215,여,79,J00100,관계없음,서울,성북구,서울,,890003,화학?환경?에너지 분야 단순 종사원,,,신입,J03402,승인,,,,,,36:45.0,36:49.0
H316202107071214,여,43,J00106,고등학교,서울,강서구,서울,,617903,쇼핑몰택배 준비원,2,0,2년0월,J03402,승인,,,,,,35:39.0,35:43.0
H305202107071213,여,77,J00102,초등학교,서울,광진구,,,561201,환경 미화원,,,신입,J03402,승인,,,,,,34:56.0,35:00.0
H309202107071212,여,67,J00106,고등학교,서울,강북구,서울,,550100,요양 보호사 및 간병인,,,신입,J03402,승인,,,,,,33:41.0,33:44.0
H107202107071211,여,60,J00106,고등학교,서울,노원구,서울,중랑구,622902,승합차 운전원,,,신입,J03402,승인,,,,,,33:40.0,33:46.0
H320202107071210,여,54,J00106,고등학교,서울,동작구,서울,,550104,재가 요양보호사,,,신입,J03404,알선,,,,,,33:14.0,33:17.0
H319202107071209,남,53,J00104,중학교,서울,영등포구,서울,,890000,제조 단순 종사원,5,0,5년0월,J03402,승인,,,,,,32:10.0,32:14.0
H113202107071208,남,68,J00104,중학교,서울,구로구,서울,영등포구,824100,용접원,40,0,40년0월,J03402,승인,,,,,,31:26.0,31:30.0
H001202107071207,여,60,J00106,고등학교,서울,,,,307900,기타 보건?의료 종사원,,,신입,J03402,승인,,,,,,31:18.0,35:22.0
H314202107071206,여,55,J00106,고등학교,서울,마포구,서울,,550104,재가 요양보호사,,,신입,J03404,알선,,,,,,31:01.0,31:04.0
H306202107071205,여,52,J00106,고등학교,서울,동대문구,서울,,550104,재가 요양보호사,,,신입,J03404,알선,,,,,,30:36.0,30:40.0
H303202107071158,여,69,J00106,고등학교,서울,용산구,서울,,561201,환경 미화원,0,2,0년2월,J03402,승인,,,,,,29:45.0,29:48.0
H308202107071157,여,66,J00106,고등학교,서울,성북구,서울,,550104,재가 요양보호사,,,신입,J03404,알선,,,,,,29:04.0,29:08.0
H310202107071156,남,45,J00106,고등학교,경기,의정부시,서울,도봉구,624103,배송?납품 운전원(납품영업 포함),11,0,11년0월,J03402,승인,,,,,,27:48.0,27:51.0
H314202107071155,남,69,J00104,중학교,서울,서대문구,서울,마포구,542001,아파트?빌라 경비원,5,0,5년0월,J03402,승인,,,,,,27:30.0,27:34.0
H309202107071154,여,60,J00106,고등학교,서울,강북구,서울,,561100,청소원,,,신입,J03402,승인,,,,,,26:01.0,26:06.0
H001202107071153,여,36,J00108,전문대학,경기,하남시,서울,강동구,231101,사회복지사(사회복지시설),,,신입,J03404,알선,,,,,,25:41.0,29:38.0
H309202107071152,여,56,J00106,고등학교,서울,강북구,서울,,836000,전기?전자 부품?제품 조립원,9,0,9년0월,J03402,승인,,,,,,25:10.0,25:15.0
H304202107071151,여,52,J00106,고등학교,서울,성동구,서울,,617903,쇼핑몰택배 준비원,,,신입,J03402,승인,,,,,,23:12.0,23:16.0
H107202107071150,여,66,J00102,초등학교,경기,의정부시,서울,노원구,561105,세차원 및 운송장비 청소원,25,0,25년0월,J03404,알선,,,,,,20:28.0,20:32.0
H324202107071109,남,59,J00106,고등학교,서울,송파구,,,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),,,신입,J03402,승인,,,,,,18:01.0,18:06.0
H127202107071108,남,70,J00106,고등학교,서울,광진구,,,542001,아파트?빌라 경비원,4,0,4년0월,J03402,승인,,,,,,17:01.0,17:05.0
H306202107071107,남,62,J00104,중학교,서울,동대문구,서울,,562900,기타 서비스 단순 종사원,,,신입,J03402,승인,,,,,,16:44.0,16:49.0
H107202107071106,여,77,J00102,초등학교,경기,의정부시,서울,노원구,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),1,6,1년6월,J03402,승인,,,,,,14:36.0,14:40.0
H309202107071105,여,65,J00102,초등학교,서울,강북구,서울,,561100,청소원,,,신입,J03402,승인,,,,,,13:54.0,13:58.0
H001202107071104,여,50,J00110,대학_대학교,서울,,,,232100,보육 교사,,,신입,J03402,승인,,,,,,11:27.0,05:47.0
H315202107071065,여,61,J00106,고등학교,서울,양천구,서울,강서구,615101,백화점 판매원,5,0,5년0월,J03402,승인,,,,,,08:59.0,09:02.0
H306202107071064,여,74,J00102,초등학교,서울,동대문구,서울,,885900,드론 및 주입?포장?상표부착기 등 기타 기계 조작원,,,신입,J03402,승인,,,,,,08:28.0,08:33.0
H118202107071063,남,64,J00106,고등학교,서울,동작구,서울,,542002,건물 경비원(청사학교병원상가빌딩공장 등),,,신입,J03402,승인,,,,,,08:20.0,08:24.0
H308202107071062,여,53,J00100,관계없음,서울,성북구,서울,,890003,화학?환경?에너지 분야 단순 종사원,,,신입,J03402,승인,,,,,,07:40.0,07:45.0
